DATE_TIME;LATITUDE;LONGITUDE;GEOHASH;MAXIMUM_SPEED;MINIMUM_SPEED;AVERAGE_SPEED;NUMBER_OF_VEHICLES
2022-05-07 01:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;132;6;64;219
2022-09-03 20:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;121;6;58;327
2022-05-05 18:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;117;8;59;430
2022-05-05 19:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;113;4;60;374
2022-05-05 20:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;131;2;58;365
2022-05-06 08:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;115;6;60;429
2022-05-06 09:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;124;6;57;476
2022-05-06 10:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;119;2;54;509
2022-02-13 03:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;115;7;70;112
2022-02-13 04:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;140;7;64;104
2022-02-12 12:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;120;2;44;298
2022-09-08 02:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;126;3;70;137
2022-09-08 03:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;123;7;66;112
2022-09-08 04:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;124;6;68;111
2022-01-01 00:00:00.0000000;289215078203392;410311882440704;sxk96j;139;9;63;235
2022-01-01 01:00:00.0000000;289215078203392;410311882440704;sxk96j;138;6;61;251
2022-01-01 02:00:00.0000000;289215078203392;410311882440704;sxk96j;133;7;66;234
2022-01-01 03:00:00.0000000;289215078203392;410311882440704;sxk96j;142;9;66;180
2022-01-01 04:00:00.0000000;289215078203392;410311882440704;sxk96j;118;10;69;121
2022-01-01 05:00:00.0000000;289215078203392;410311882440704;sxk96j;127;18;71;152
2022-01-01 06:00:00.0000000;289215078203392;410311882440704;sxk96j;123;2;65;180
2022-01-06 15:00:00.0000000;289215078203392;410311882440704;sxk96j;117;2;54;370
2022-01-06 16:00:00.0000000;289215078203392;410311882440704;sxk96j;110;2;53;386
2022-01-06 17:00:00.0000000;289215078203392;410311882440704;sxk96j;114;1;45;475
2022-01-06 18:00:00.0000000;289215078203392;410311882440704;sxk96j;108;2;34;407
2022-01-06 19:00:00.0000000;289215078203392;410311882440704;sxk96j;130;1;36;371
2022-01-06 20:00:00.0000000;289215078203392;410311882440704;sxk96j;121;3;59;359
2022-01-06 21:00:00.0000000;289215078203392;410311882440704;sxk96j;120;3;63;329
2022-01-06 22:00:00.0000000;289215078203392;410311882440704;sxk96j;122;6;63;339
2022-01-10 07:00:00.0000000;289215078203392;410311882440704;sxk96j;104;2;41;591
2022-01-10 08:00:00.0000000;289215078203392;410311882440704;sxk96j;99;2;40;447
2022-01-10 09:00:00.0000000;289215078203392;410311882440704;sxk96j;103;2;44;403
2022-01-10 10:00:00.0000000;289215078203392;410311882440704;sxk96j;108;1;50;488
2022-01-10 11:00:00.0000000;289215078203392;410311882440704;sxk96j;110;1;51;449
2022-01-10 12:00:00.0000000;289215078203392;410311882440704;sxk96j;115;1;50;480
2022-01-10 13:00:00.0000000;289215078203392;410311882440704;sxk96j;131;1;47;465
2022-01-14 19:00:00.0000000;289215078203392;410311882440704;sxk96j;108;1;26;429
2022-01-14 20:00:00.0000000;289215078203392;410311882440704;sxk96j;114;3;53;325
2022-01-14 21:00:00.0000000;289215078203392;410311882440704;sxk96j;127;6;60;392
2022-01-14 22:00:00.0000000;289215078203392;410311882440704;sxk96j;147;2;65;312
2022-01-14 23:00:00.0000000;289215078203392;410311882440704;sxk96j;119;3;64;301
2022-01-15 00:00:00.0000000;289215078203392;410311882440704;sxk96j;133;9;66;271
2022-01-15 01:00:00.0000000;289215078203392;410311882440704;sxk96j;134;2;65;170
2022-01-19 00:00:00.0000000;289215078203392;410311882440704;sxk96j;141;7;66;220
2022-01-19 01:00:00.0000000;289215078203392;410311882440704;sxk96j;122;7;59;127
2022-01-19 02:00:00.0000000;289215078203392;410311882440704;sxk96j;111;6;60;103
2022-01-19 03:00:00.0000000;289215078203392;410311882440704;sxk96j;118;2;59;93
2022-01-19 04:00:00.0000000;289215078203392;410311882440704;sxk96j;107;6;63;101
2022-01-19 05:00:00.0000000;289215078203392;410311882440704;sxk96j;113;2;57;238
2022-01-19 06:00:00.0000000;289215078203392;410311882440704;sxk96j;115;2;57;521
2022-01-22 09:00:00.0000000;289215078203392;410311882440704;sxk96j;125;2;58;487
2022-01-22 10:00:00.0000000;289215078203392;410311882440704;sxk96j;125;2;55;478
2022-01-22 11:00:00.0000000;289215078203392;410311882440704;sxk96j;120;2;56;439
2022-01-22 12:00:00.0000000;289215078203392;410311882440704;sxk96j;110;6;59;408
2022-01-22 13:00:00.0000000;289215078203392;410311882440704;sxk96j;115;1;57;396
2022-01-22 14:00:00.0000000;289215078203392;410311882440704;sxk96j;112;7;61;404
2022-01-22 15:00:00.0000000;289215078203392;410311882440704;sxk96j;117;6;60;382
